Species,ElementalState,ElementSymbol,PhysicalState,dHf0,S0,Cp,TK,TC,dH,dG,logK,dHmCl,dGmCl,dGStableCl
CuCl(s),n,Cu,s,-137200,86.20,48.50,1000,727,-133222.9692,-74719.46923,3.902850824,-133222.9692,-74719.46923,y
Ti(s),y,Ti,s,0,30.70,25.00,1000,727,0,0,0,#DIV/0!,#DIV/0!,n
Ti(g),n,Ti,g,473000,180.30,24.40,1000,727,472578.8,322978.8,-16.8702761,#DIV/0!,#DIV/0!,n
TiCl2(s),n,Ti,s,-513800,87.40,69.80,1000,727,-508232.7385,-341925.7385,17.85993883,-254116.3692,-170962.8692,n
TiCl4(g),n,Ti,g,-763200,353.20,95.40,1000,727,-765543.8769,-642029.8769,33.53539392,-191385.9692,-160507.4692,y
Sb(s),y,Sb,s,0,45.69,25.23,1000,727,0,0,0,#DIV/0!,#DIV/0!,n
SbCl3(s),n,Sb,s,-382170,184.10,107.90,1000,727,-362959.1677,-166858.6677,8.715593076,-120986.3892,-55619.55589,n
SbCl3(g),n,Sb,g,-313800,337.80,76.69,1000,727,-316498.5877,-274098.0877,14.31707102,-105499.5292,-91366.02923,y
As(s),y,As,s,0,35.10,24.64,1000,727,0,0,0,#DIV/0!,#DIV/0!,n
AsCl3(g),n,As,g,-261500,327.17,75.73,1000,727,-264458.3277,-222017.8277,11.59674273,-88152.77589,-74005.94256,y
Bi(s),y,Bi,s,0,56.74,25.52,1000,727,0,0,0,#DIV/0!,#DIV/0!,n
BiCl3(g),n,Bi,g,-379100,177.00,105.00,1000,727,-362128.5477,-147878.0477,7.724171039,-120709.5159,-49292.68256,y
Si(s),y,Si,s,0,18.83,20.00,1000,727,0,0,0,#DIV/0!,#DIV/0!,n
SiCl2(g),n,Si,g,-165640,280.40,50.88,1000,727,-169844.5785,-208407.5785,10.88583334,-84922.28923,-104203.7892,n
SiCl4(g),n,Si,g,-657010,330.73,90.25,1000,727,-659459.1769,-525345.1769,27.44055703,-164864.7942,-131336.2942,y
Ge(s),y,Ge,s,0,31.09,23.35,1000,727,0,0,0,#DIV/0!,#DIV/0!,n
GeCl(g),n,Ge,g,155180,247.00,36.86,1000,727,151724.9568,47318.45677,-2.471603183,151724.9568,47318.45677,n
GeCl4(g),n,Ge,g,-495800,347.72,96.11,1000,727,-496485.0509,-367101.0509,19.17493063,-124121.2627,-91775.26273,y
Sn(s),y,Sn,s,0,51.55,26.99,1000,727,0,0,0,#DIV/0!,#DIV/0!,n
SnCl4(g),n,Sn,g,-471500,365.80,98.30,1000,727,-473205.0569,-341441.0569,17.83462228,-118301.2642,-85360.26423,y
Pb(s),y,Pb,s,0,64.81,26.44,1000,727,0,0,0,#DIV/0!,#DIV/0!,n
PbCl2(s),n,Pb,s,-286860,136.00,0.00,1000,727,-331303.2185,-179486.2185,9.375172801,-165651.6092,-89743.10923,y
Al(s),y,Al,s,0,28.33,24.35,1000,727,0,0,0,#DIV/0!,#DIV/0!,n
AlCl3(g),n,Al,g,-583200,140.00,0.00,1000,727,-639117.2077,-416276.7077,21.74354166,-213039.0692,-138758.9026,y
AlCl3(s),n,Al,s,-704200,110.67,91.84,1000,727,-695645.5277,-443475.0277,23.16420198,-231881.8426,-147825.0092,n
Ga(s),y,Ga,s,0,40.88,25.86,1000,727,0,0,0,#DIV/0!,#DIV/0!,n
GaCl3(s),n,Ga,s,-524700,142.00,0.00,1000,727,-581677.2277,-348286.7277,18.19219483,-193892.4092,-116095.5759,y
GaCl3(g),n,Ga,g,-447700,,0.00,1000,727,-504677.2277,-129286.7277,6.753083459,-168225.7426,-43095.57589,n
In(s),y,In,s,0,57.82,26.74,1000,727,0,0,0,#DIV/0!,#DIV/0!,n
InCl3(g),n,In,g,-374000,,0.00,1000,727,-431594.9877,-39264.48768,2.050917113,-143864.9959,-13088.16256,y
InCl3(s),n,In,s,-537200,,0.00,1000,727,-594794.9877,-202464.4877,10.57540559,-198264.9959,-67488.16256,n
Tl(s),y,Tl,s,0,64.18,26.32,1000,727,0,0,0,#DIV/0!,#DIV/0!,n
TlCl3(s),n,Tl,s,-315100,,0.00,1000,727,-372400.1477,26290.35232,-1.373234102,-124133.3826,8763.450772,y
Zn(s),y,Zn,s,0,41.63,25.40,1000,727,0,0,0,#DIV/0!,#DIV/0!,n
ZnCl2(g),n,Zn,g,-266100,,0.00,1000,727,-309813.1385,-45176.13846,2.359702645,-154906.5692,-22588.06923,y
ZnCl2(s),n,Zn,s,-415050,111.46,71.34,1000,727,-408682.4585,-255505.4585,13.34591505,-204341.2292,-127752.7292,n
Cd(s),y,Cd,s,0,51.76,25.98,1000,727,0,0,0,#DIV/0!,#DIV/0!,n
CdCl2(s),n,Cd,s,-391500,115.27,74.68,1000,727,-383194.9385,-223697.9385,11.68450061,-191597.4692,-111848.9692,y
Hg(l),y,Hg,l,0,76.02,27.98,1000,727,0,0,0,#DIV/0!,#DIV/0!,n
HgCl2(s),n,Hg,s,-224300,146.00,0.00,1000,727,-269826.4045,-116799.4045,6.100828293,-134913.2022,-58399.70223,y
Ag(s),y,Ag,s,0,42.55,25.35,1000,727,0,0,0,#DIV/0!,#DIV/0!,n
AgCl(s),n,Ag,s,-127068,96.20,50.79,1000,727,-122150.2892,-64296.78923,3.358438964,-122150.2892,-64296.78923,y
AgCl(g),n,Ag,g,,245.92,35.86,1000,727,-5563.149228,-97429.64923,5.089080406,-5563.149228,-97429.64923,n
Au(s),y,Au,s,0,46.40,25.42,1000,727,0,0,0,#DIV/0!,#DIV/0!,n
AuCl(s),n,Au,s,197000,,0.00,1000,727,166215.3948,324118.8948,-16.92982711,166215.3948,324118.8948,y
Pd(s),y,Pd,s,0,37.57,25.98,1000,727,0,0,0,#DIV/0!,#DIV/0!,n
PdCl2(s),n,Pd,s,-198700,,0.00,1000,727,-242820.2985,17756.70154,-0.927492633,-121410.1492,8878.350772,y
Rh(s),y,Rh,s,0,31.51,24.98,1000,727,0,0,0,#DIV/0!,#DIV/0!,n
RhCl3(g),n,Rh,g,67,,0.00,1000,727,23481.70154,277998.7015,-14.52081328,11740.85077,138999.3508,n
RhCl3(s),n,Rh,s,-299,,0.00,1000,727,-342618.2985,-88101.29846,4.601829066,-171309.1492,-44050.64923,y
Ru(s),y,Ru,s,0,28.53,24.06,1000,727,0,0,0,#DIV/0!,#DIV/0!,n
RuCl4(g),n,Ru,g,-51900,,0.00,1000,727,-120554.7969,353989.2031,-18.49005443,-30138.69923,88497.30077,y
RuCl3(g),n,Ru,g,-1300,,0.00,1000,727,-57013.62768,306026.8723,-15.98481953,-19004.54256,102008.9574,n
RuCl3(s),n,Ru,s,-205000,,0.00,1000,727,-260713.6277,102326.8723,-5.344878946,-86904.54256,34108.95744,n
Pt(s),y,Pt,s,0,41.63,25.86,1000,727,0,0,0,#DIV/0!,#DIV/0!,n
PtCl4(s),n,Pt,s,-231800,,0.00,1000,727,-301718.3969,185925.6031,-9.711523659,-75429.59923,46481.40077,y
Ir(s),y,Ir,s,0,35.48,25.10,1000,727,0,0,0,#DIV/0!,#DIV/0!,n
IrCl3(s),n,Ir,s,-245600,,0.00,1000,727,-302043.7077,67946.79232,-3.549090982,-100681.2359,22648.93077,y
Os(s),y,Os,s,0,32.60,24.70,1000,727,0,0,0,#DIV/0!,#DIV/0!,n
OsCl4(g),n,Os,g,-79000,,0.00,1000,727,-148104.0769,330509.9231,-17.26365215,-37026.01923,82627.48077,y
OsCl4(s),n,Os,s,-254800,,0.00,1000,727,-323904.0769,154709.9231,-8.081023019,-80976.01923,38677.48077,n
Re(s),y,Re,s,0,36.86,25.48,1000,727,0,0,0,#DIV/0!,#DIV/0!,n
ReCl5(g),n,Re,g,-318000,,0.00,1000,727,-400592.8061,193784.6939,-10.12203058,-80118.56123,38756.93877,y
ReCl5(g),n,Re,s,-372000,,0.00,1000,727,-454592.8061,139784.6939,-7.301427771,-90918.56123,27956.93877,n
Mo(s),y,Mo,s,0,28.66,24.06,1000,727,0,0,0,#DIV/0!,#DIV/0!,n
MoCl4(g),n,Mo,g,-377000,,0.00,1000,727,-445654.7969,29019.20309,-1.515771215,-111413.6992,7254.800772,n
MoCl4(s),n,Mo,s,-480000,,0.00,1000,727,-548654.7969,-73980.79691,3.864267468,-137163.6992,-18495.19923,n
MoCl5(s),n,Mo,s,-527200,,0.00,1000,727,-608795.9661,-22618.46614,1.181439056,-121759.1932,-4523.693228,y
W(s),y,W,s,0,32.64,24.27,1000,727,0,0,0,#DIV/0!,#DIV/0!,n
WCl4(g),n,W,g,-305000,,0.00,1000,727,-373802.2169,104851.7831,-5.476763583,-93450.55423,26212.94577,n
WCl4(s),n,W,s,-496000,,0.00,1000,727,-564802.2169,-86148.21691,4.499813005,-141200.5542,-21537.05423,n
WCl5(g),n,W,g,-421700,,0.00,1000,727,-503443.3861,86714.11386,-4.529371718,-100688.6772,17342.82277,y
WCl5(s),n,W,s,-496200,,0.00,1000,727,-577943.3861,12214.11386,-0.637984515,-115588.6772,2442.822772,n
V(s),y,V,s,0,28.91,24.89,1000,727,0,0,0,#DIV/0!,#DIV/0!,n
VCl2(g),n,V,g,-256500,,0.00,1000,727,-299855.1185,-47938.11846,2.503970211,-149927.5592,-23969.05923,n
VCl2(s),n,V,s,-452000,97.10,72.22,1000,727,-444656.6785,-289839.6785,15.13930759,-222328.3392,-144919.8392,n
VCl4(g),n,V,g,-525000,362.40,96.20,1000,727,-526705.0569,-414181.0569,21.63407872,-131676.2642,-103545.2642,y
Nb(s),y,Nb,s,0,36.40,24.60,1000,727,0,0,0,#DIV/0!,#DIV/0!,n
NbCl5(g),n,Nb,g,-703700,400.56,120.83,1000,727,-700852.3861,-507494.8861,26.50817591,-140170.4772,-101498.9772,y
NbCl5(s),n,Nb,s,-797500,210.50,148.10,1000,727,-775508.8461,-392091.3461,20.48025835,-155101.7692,-78418.26923,n
Ta(s),y,Ta,s,0,41.51,25.36,1000,727,0,0,0,#DIV/0!,#DIV/0!,n
TaCl4(g),n,Ta,g,-560700,,0.00,1000,727,-630267.3969,-142743.3969,7.455970847,-157566.8492,-35685.84923,y
TaCl4(s),n,Ta,s,-701700,,0.00,1000,727,-771267.3969,-283743.3969,14.82087817,-192816.8492,-70935.84923,n
Ti(s),y,Ti,s,0,30.63,25.02,1000,727,0,0,0,#DIV/0!,#DIV/0!,n
TiCl4(g),n,Ti,g,-763200,354.90,95.40,1000,727,-765557.9169,-643813.9169,33.62858037,-191389.4792,-160953.4792,y
TiCl4(l),n,Ti,l,-804200,252.34,145.18,1000,727,-771612.3569,-547308.3569,28.58776827,-192903.0892,-136827.0892,n
Zr(s),y,Zr,s,0,38.99,25.36,1000,727,0,0,0,#DIV/0!,#DIV/0!,n
ZrCl4(g),n,Zr,g,-870300,368.30,98.28,1000,727,-870874.8369,-754170.8369,39.39289589,-217718.7092,-188542.7092,y
ZrCl4(s),n,Zr,s,-980520,181.60,119.79,1000,727,-965994.8169,-662590.8169,34.60936142,-241498.7042,-165647.7042,n
Hf(s),y,Hf,s,0,43.56,25.73,1000,727,0,0,0,#DIV/0!,#DIV/0!,n
HfCl4(g),n,Hf,g,-884000,,0.00,1000,727,-953827.1369,-464253.1369,24.24951297,-238456.7842,-116063.2842,n
HfCl(s),n,Hf,s,-990350,190.80,120.50,1000,727,-975586.1369,-676812.1369,35.35218911,-243896.5342,-169203.0342,y
Sc(s),y,Sc,s,0,34.64,25.52,1000,727,0,0,0,#DIV/0!,#DIV/0!,n
ScCl3(s),n,Sc,s,-925000,,0.00,1000,727,-981738.5477,-612588.0477,31.99754751,-327246.1826,-204196.0159,y
Y(s),y,Y,s,0,44.43,26.53,1000,727,0,0,0,#DIV/0!,#DIV/0!,n
YCl3(s),n,Y,s,-1000000,,0.00,1000,727,-1057447.568,-678507.0677,35.44072108,-352482.5226,-226169.0226,n
YCl3(g),n,Y,g,-750200,,75.00,1000,727,-754997.5677,-376057.0677,19.6427337,-251665.8559,-125352.3559,y
Lu(s),y,Lu,s,0,50.96,26.86,1000,727,0,0,0,#DIV/0!,#DIV/0!,n
LuCl3(s),n,Lu,s,-945600,,0.00,1000,727,-1003279.228,-617808.7277,32.2702413,-334426.4092,-205936.2426,n
LuCl3(g),n,Lu,g,-649000,,0.00,1000,727,-706679.2277,-321208.7277,16.77781923,-235559.7426,-107069.5759,y
Yb(s),y,Yb,s,0,59.87,26.74,1000,727,0,0,0,#DIV/0!,#DIV/0!,n
YbCl2(s),n,Yb,s,-799600,,0.00,1000,727,-844253.8185,-561376.8185,29.32261165,-422126.9092,-280688.4092,y
YbCl3(s),n,Yb,s,-959800,,0.00,1000,727,-1017394.988,-623014.4877,32.54215577,-339131.6626,-207671.4959,n
Tm(s),y,Tm,s,0,74.01,27.03,1000,727,0,0,0,#DIV/0!,#DIV/0!,n
TmCl2(s),n,Tm,s,-987,,0.00,1000,727,-1031457.398,-734440.3985,38.3623083,-515728.6992,-367220.1992,y
Er(s),y,Er,s,0,73.18,28.12,1000,727,0,0,0,#DIV/0!,#DIV/0!,n
ErCl3(s),n,Er,s,-998700,,0.00,1000,727,-1057263.748,-649573.2477,33.92940971,-352421.2492,-216524.4159,n
ErCl3(g),n,Er,g,-699000,,0.00,1000,727,-757563.7477,-349873.2477,18.27506415,-252521.2492,-116624.4159,y
Ho(s),y,Ho,s,0,75.30,27.15,1000,727,0,0,0,#DIV/0!,#DIV/0!,n
HoCl3(s),n,Ho,s,-1005400,,0.00,1000,727,-1063282.808,-653472.3077,34.13307082,-354427.6026,-217824.1026,n
HoCl3(g),n,Ho,g,-703000,,0.00,1000,727,-760882.8077,-351072.3077,18.33769511,-253627.6026,-117024.1026,y
Dy(s),y,Dy,s,0,74.77,28.16,1000,727,0,0,0,#DIV/0!,#DIV/0!,n
DyCl3(s),n,Dy,s,-1000000,,0.00,1000,727,-1058591.828,-649311.3277,33.91572875,-352863.9426,-216437.1092,y
Tb(s),y,Tb,s,0,73.22,28.91,1000,727,0,0,0,#DIV/0!,#DIV/0!,n
TbCl3(s),n,Tb,s,-997000,,0.00,1000,727,-1056118.328,-648387.8277,33.86749121,-352039.4426,-216129.2759,y
Gd(s),y,Gd,s,0,68.07,37.04,1000,727,0,0,0,#DIV/0!,#DIV/0!,n
GdCl3(s),n,Gd,s,-1008000,,0.00,1000,727,-1059884.418,-768807.4185,40.15741409,-529942.2092,-384403.7092,y
Eu(s),y,Eu,s,0,77.78,27.66,1000,727,0,0,0,#DIV/0!,#DIV/0!,n
EuCl2(s),n,Eu,s,-824000,,0.00,1000,727,-869299.6585,-568512.6585,29.69534073,-434649.8292,-284256.3292,n
EuCl2(g),n,Eu,g,-460000,,0.00,1000,727,-505299.6585,-204512.6585,10.68238848,-252649.8292,-102256.3292,y
Sm(s),y,Sm,s,0,69.58,29.54,1000,727,0,0,0,#DIV/0!,#DIV/0!,n
SmCl2(s),n,Sm,s,-815500,,0.00,1000,727,-862119.4185,-569532.4185,29.74860624,-431059.7092,-284766.2092,y
SmCl3(s),n,Sm,s,-1025900,,0.00,1000,727,-1085460.588,-681370.0877,35.59026631,-361820.1959,-227123.3626,n
Nd(s),y,Nd,s,0,71.50,27.45,1000,727,0,0,0,#DIV/0!,#DIV/0!,n
NdCl3(s),n,Nd,s,-1041000,,113.00,1000,727,-1006826.238,-712319.2385,37.20684522,-503413.1192,-356159.6192,n
NdCl3(g),n,Nd,g,-724000,,0.00,1000,727,-769152.2385,-474645.2385,24.79232761,-384576.1192,-237322.6192,y
Pr(s),y,Pr,s,0,73.20,27.20,1000,727,0,0,0,#DIV/0!,#DIV/0!,n
PrCl3(s),n,Pr,s,-1072700,,0.00,1000,727,-1130617.908,-722907.4077,37.75990115,-376872.6359,-240969.1359,y
Ce(s),y,Ce,s,0,72.00,26.94,1000,727,0,0,0,#DIV/0!,#DIV/0!,n
CeCl3(s),n,Ce,s,-1053500,,0.00,1000,727,-1111235.388,-704724.8877,36.81016657,-370411.7959,-234908.2959,y
La(s),y,La,s,0,56.90,27.11,1000,727,0,0,0,#DIV/0!,#DIV/0!,n
LaCl3(s),n,La,s,-1071100,,108.80,1000,727,-1052577.128,-661166.6277,34.5349712,-350859.0426,-220388.8759,y
LaCl3(g),n,La,g,-741,,0.00,1000,727,-798854.7277,-407444.2277,21.28219132,-266284.9092,-135814.7426,n
U(s),y,U,s,0,50.21,27.67,1000,727,0,0,0,#DIV/0!,#DIV/0!,n
UCl4(s),n,U,s,-1019200,197.10,122.01,1000,727,-1004734.487,-705610.4869,36.85642442,-251183.6217,-176402.6217,n
UCl4(g),n,U,g,-809600,419.00,0.00,1000,727,-880785.5069,-803561.5069,41.97273779,-220196.3767,-200890.3767,y
UCl4(s),n,U,s,-1092000,285.80,175.70,1000,727,-236705.6154,196725.3846,-10.27563281,-39450.93589,32787.56411,n
UCl4(g),n,U,g,-1013000,431.00,0.00,1000,727,-281047.0154,7183.984632,-0.375243837,-46841.16923,1197.330772,n
Pa(s),y,Pa,s,0,51.90,0.00,1000,727,0,0,0,#DIV/0!,#DIV/0!,n
PaCl4(s),n,Pa,s,-1043000,,0.00,1000,727,-1094764.677,-596850.6769,31.17553136,-273691.1692,-149212.6692,y
Th(s),y,Th,s,0,53.39,27.32,1000,727,0,0,0,#DIV/0!,#DIV/0!,n
ThCl4(s),n,Th,s,-1186600,190.40,0.00,1000,727,-1257543.317,-948539.3169,49.54541959,-314385.8292,-237134.8292,n
ThCl4(g),n,Th,g,-966100,397.50,101.70,1000,727,-965649.9169,-863745.9169,45.11637326,-241412.4792,-215936.4792,y
Be(s),y,Be,s,0,9.50,16.44,1000,727,0,0,0,#DIV/0!,#DIV/0!,n
BeCl2(s),n,Be,s,-495800,75.81,62.43,1000,727,-489397.3585,-332700.3585,17.37806601,-244698.6792,-166350.1792,y
BeCl2(g),n,Be,g,-358600,,0.00,1000,727,-396023.2185,-163516.2185,8.541005638,-198011.6092,-81758.10923,n
Mg(s),y,Mg,s,0,32.68,24.89,1000,727,0,0,0,#DIV/0!,#DIV/0!,n
MgCl2(s),n,Mg,s,-641320,89.62,71.38,1000,727,-634566.3585,-468499.3585,24.47130749,-317283.1792,-234249.6792,n
MgCl2(g),n,Mg,g,-400400,,0.00,1000,727,-443755.1185,-188068.1185,9.82343449,-221877.5592,-94034.05923,y
Ca(s),y,Ca,s,0,41.42,25.31,1000,727,0,0,0,#DIV/0!,#DIV/0!,n
CaCl2(s),n,Ca,s,-795800,104.60,72.59,1000,727,-788491.7785,-628664.7785,32.83728958,-394245.8892,-314332.3892,n
CaCl2(g),n,Ca,g,-471500,290.27,59.33,1000,727,-473500.2985,-499343.2985,26.08239089,-236750.1492,-249671.6492,y
Sr(s),y,Sr,s,0,52.30,26.40,1000,727,0,0,0,#DIV/0!,#DIV/0!,n
SrCl2(s),n,Sr,s,-828900,114.85,75.60,1000,727,-820243.9385,-659786.9385,34.46290536,-410121.9692,-329893.4692,n
SrCl2(g),n,Sr,g,-485800,310.81,55.77,1000,727,-491064.5985,-526567.5985,27.50440825,-245532.2992,-263283.7992,y
Ba(s),y,Ba,s,0,62.80,28.07,1000,727,0,0,0,#DIV/0!,#DIV/0!,n
BaCl2(s),n,Ba,s,-858600,123.68,75.14,1000,727,-851439.1985,-689312.1985,36.00510964,-425719.5992,-344656.0992,n
BaCl2(g),n,Ba,g,-525900,325.29,56.19,1000,727,-532042.0985,-571525.0985,29.85269066,-266021.0492,-285762.5492,y
Li(s),y,Li,s,0,29.12,24.77,1000,727,0,0,0,#DIV/0!,#DIV/0!,n
LiCl(s),n,Li,s,-408610,59.33,47.99,1000,727,-405250.7292,-323957.2292,16.92138277,-405250.7292,-323957.2292,n
LiCl(g),n,Li,g,-195400,212.82,33.22,1000,727,-202409.2692,-274609.7692,14.34379788,-202409.2692,-274609.7692,y
Na(s),y,Na,s,0,51.21,28.24,1000,727,0,0,0,#DIV/0!,#DIV/0!,n
NaCl(s),n,Na,s,-411153,72.13,50.50,1000,727,-408467.6492,-317884.1492,16.60416524,-408467.6492,-317884.1492,n
NaCl(g),n,Na,g,-176650,229.81,35.77,1000,727,-184305.1092,-251401.6092,13.13155711,-184305.1092,-251401.6092,y
K(s),y,K,s,0,64.18,29.58,1000,727,0,0,0,#DIV/0!,#DIV/0!,n
KCl(s),n,K,s,-436747,82.59,51.30,1000,727,-434440.7292,-341347.2292,17.82972134,-434440.7292,-341347.2292,n
KCl(g),n,K,g,-214140,239.10,36.48,1000,727,-222237.3692,-285653.8692,14.92066861,-222237.3692,-285653.8692,y
Rb(s),y,Rb,s,0,76.78,31.06,1000,727,0,0,0,#DIV/0!,#DIV/0!,n
RbCl(s),n,Rb,s,-435350,95.90,52.38,1000,727,-433325.9332,-340942.4332,17.80857747,-433325.9332,-340942.4332,n
RbCl(g),n,Rb,g,-228900,249.56,36.82,1000,727,-237799.0532,-299075.5532,15.6217286,-237799.0532,-299075.5532,y
Cs(s),y,Cs,s,0,85.23,32.17,1000,727,0,0,0,#DIV/0!,#DIV/0!,n
CsCl(s),n,Cs,s,-443040,101.17,52.47,1000,727,-441730.5692,-346167.0692,18.0814779,-441730.5692,-346167.0692,n
CsCl(g),n,Cs,g,-240200,255.96,36.94,1000,727,-249792.6292,-309019.1292,16.14111524,-249792.6292,-309019.1292,y
Ar(g),y,Ar,g,0,154.73,20.79,1223,950,0,0,0,#DIV/0!,#DIV/0!,n
Cl(g),n,Cl,g,121286,165.07,22.33,1223,950,124579.609,59066.55653,-2.522687003,124579.609,59066.55653,n
Cl2(g),y,Cl,g,0,223.01,36.66,1223,950,0,0,0,0,0,n
Fe(s),y,Fe,s,0,27.28,30.68,1223,950,0,0,0,#DIV/0!,#DIV/0!,n
Fe(g),n,Fe,g,415887,180.85,22.18,1223,950,404804.9612,216994.9662,-9.267687387,#DIV/0!,#DIV/0!,n
FeCl(g),n,Fe,g,251040,257.47,39.84,1223,950,239286.2292,94131.41668,-4.020280093,239286.2292,94131.41668,n
FeCl2(s),n,Fe,s,-341800,118.00,76.70,1223,950,-336744.5356,-174957.5346,7.472301157,-168372.2678,-87478.76732,n
FeCl2(l),n,Fe,l,-311328,139.90,102.17,1223,950,-282710.0106,-147701.8176,6.308230538,-141355.0053,-73850.90882,n
FeCl2(g),n,Fe,g,-141001,299.17,61.73,1223,950,-148578.2075,-208360.8935,8.898932812,-74289.10377,-104180.4468,n
Fe2Cl4(g),n,Fe,g,-431370,464.38,132.09,1223,950,-439575.9159,-395313.0999,16.88351713,-109893.979,-98828.27498,n
FeCl3(l),n,Fe,l,-362228,201.72,133.89,1223,950,-321395.2495,-125630.251,5.365570976,-107131.7498,-41876.75034,n
FeCl3(g),n,Fe,g,-253132,344.11,82.30,1223,950,-259589.2239,-237959.8574,10.16308169,-86529.74129,-79319.95246,y
Fe2Cl6(g),n,Fe,g,-654378,537.02,181.52,1223,950,-651779.6899,-423610.6949,18.09208556,-108629.9483,-70601.78249,n
Cr(s),y,Cr,s,0,23.64,27.88,1223,950,0,0,0,#DIV/0!,#DIV/0!,n
Cr(g),n,Cr,g,397480,174.20,20.78,1223,950,383693.2767,199560.3535,-8.523068545,#DIV/0!,#DIV/0!,n
CrCl2(l),n,Cr,l,-363171,144.92,83.23,1223,950,-344279.9167,-219865.8389,9.390300143,-172139.9584,-109932.9195,n
CrCl2(s),n,Cr,s,-395400,115.30,79.56,1223,950,-383018.3702,-222381.4784,9.497741162,-191509.1851,-111190.7392,n
CrCl2(g),n,Cr,g,-120307,322.49,55.17,1223,950,-130488.5252,-223246.2264,9.534673882,-65244.26261,-111623.1132,n
CrCl3(s),n,Cr,s,-556472,123.01,112.47,1223,950,-520929.1594,-233352.8171,9.966318564,-173643.0531,-77784.27238,n
CrCl3(g),n,Cr,g,-292521,353.26,82.81,1223,950,-295946.0334,-289962.9951,12.38409554,-98648.6778,-96654.3317,y
CrCl4(g),n,Cr,g,-427000,,,1223,950,-528735.1311,45651.22169,-1.949728414,-132183.7828,11412.80542,n
H2(g),y,H,g,0,130.70,28.80,1223,950,0,0,0,#DIV/0!,#DIV/0!,n
HCl(g),n,H,g,-92300,186.90,29.10,1223,950,-95824.11386,-108110.9834,4.617336588,-95824.11386,-108110.9834,y
Ni(s),y,Ni,s,0,29.90,26.10,1223,950,0,0,0,#DIV/0!,#DIV/0!,n
Ni(g),n,Ni,g,429700,182.20,23.40,1223,950,427202.5,240939.6,-10.2903442,#DIV/0!,#DIV/0!,n
NiCl2(s),n,Ni,s,-305300,97.70,71.70,1223,950,-297363.2277,-107545.0667,4.593166725,-148681.6139,-53772.53336,y
NiCl2(l),n,Ni,l,,,0.00,1223,950,0,0,0,#DIV/0!,#DIV/0!,n
NiCl2(g),n,Ni,g,,,0.00,1223,950,0,0,0,#DIV/0!,#DIV/0!,n
NiCl3(s),n,Ni,s,,,0.00,1223,950,0,0,0,#DIV/0!,#DIV/0!,n
NiCl3(g),n,Ni,g,,,0.00,1223,950,0,0,0,#DIV/0!,#DIV/0!,n
NiCl4(s),n,Ni,s,,,0.00,1223,950,0,0,0,#DIV/0!,#DIV/0!,n
NiCl4(g),n,Ni,g,,,0.00,1223,950,0,0,0,#DIV/0!,#DIV/0!,n
Co(s),y,Co,s,0,30.00,24.80,1223,950,0,0,0,#DIV/0!,#DIV/0!,n
Co(g),n,Co,g,424700,179.50,230.00,1223,950,614510,431671.5,-18.43635632,#DIV/0!,#DIV/0!,n
CoCl2(s),n,Co,s,-312500,109.20,78.50,1223,950,-297070.7277,-121194.7667,5.176134868,-148535.3639,-60597.38336,y
Mn(s),y,Mn,s,0,32.00,26.30,1223,950,0,0,0,#DIV/0!,#DIV/0!,n
Mn(g),n,Mn,g,280700,173.70,20.80,1223,950,275612.5,102313.4,-4.369726281,#DIV/0!,#DIV/0!,n
MnCl2(s),n,Mn,s,-481300,118.20,72.90,1223,950,-472438.2277,-305123.2667,13.03157903,-236219.1139,-152561.6334,y
MnCl2(g),n,Mn,g,-263600,,0.00,1223,950,-322170.7277,-10297.16672,0.439784036,-161085.3639,-5148.58336,n
Cu(s),y,Cu,s,0,33.20,24.40,1223,950,0,0,0,#DIV/0!,#DIV/0!,n
Cu(g),n,Cu,g,337400,166.40,20.70,1223,950,333977.5,171073.9,-7.306434121,#DIV/0!,#DIV/0!,n
CuCl2(s),n,Cu,s,-220100,108.10,71.90,1223,950,-210405.7277,-29270.86672,1.250136107,-105202.8639,-14635.43336,n
CuCl(s),n,Cu,s,-137200,86.20,48.50,1223,950,-132029.1139,-60479.33336,2.58302561,-132029.1139,-60479.33336,y
Ti(s),y,Ti,s,0,30.70,25.00,1223,950,0,0,0,#DIV/0!,#DIV/0!,n
Ti(g),n,Ti,g,473000,180.30,24.40,1223,950,472445,289484.2,-12.36364657,#DIV/0!,#DIV/0!,n
TiCl2(s),n,Ti,s,-513800,87.40,69.80,1223,950,-506603.2277,-303209.7667,12.94985492,-253301.6139,-151604.8834,n
TiCl4(g),n,Ti,g,-763200,353.20,95.40,1223,950,-766566.4554,-615508.8334,26.28790682,-191641.6139,-153877.2084,y
Sb(s),y,Sb,s,0,45.69,25.23,1223,950,0,0,0,#DIV/0!,#DIV/0!,n
SbCl3(s),n,Sb,s,-382170,184.10,107.90,1223,950,-357065.0916,-117234.1801,5.006981272,-119021.6972,-39078.06003,n
SbCl3(g),n,Sb,g,-313800,337.80,76.69,1223,950,-317564.3416,-265708.5301,11.34820607,-105854.7805,-88569.51003,y
As(s),y,As,s,0,35.10,24.64,1223,950,0,0,0,#DIV/0!,#DIV/0!,n
AsCl3(g),n,As,g,-261500,327.17,75.73,1223,950,-265606.5916,-213701.8601,9.127041368,-88535.53053,-71233.95336,y
Bi(s),y,Bi,s,0,56.74,25.52,1223,950,0,0,0,#DIV/0!,#DIV/0!,n
