Species,ElementalState,ElementSymbol,PhysicalState,dHf0,S0,Cp,TK,TC,dH,dG,logK,dHmCl,dGmCl,dGStableCl
BeCl2(g),n,Be,g,-358600,,0.00,298,25,-358600,-289312.914,50.71071444,-179300,-144656.457,n
Mg(s),y,Mg,s,0,32.68,24.89,298,25,0,0,0,#DIV/0!,#DIV/0!,n
MgCl2(s),n,Mg,s,-641320,89.62,71.38,298,25,-641320,-591832.034,103.7362102,-320660,-295916.017,n
MgCl2(g),n,Mg,g,-400400,,0.00,298,25,-400400,-324205.274,56.82664089,-200200,-162102.637,y
Ca(s),y,Ca,s,0,41.42,25.31,298,25,0,0,0,#DIV/0!,#DIV/0!,n
CaCl2(s),n,Ca,s,-795800,104.60,72.59,298,25,-795800,-748171.554,131.1393726,-397900,-374085.777,n
CaCl2(g),n,Ca,g,-471500,290.27,59.33,298,25,-471500,-479201.214,83.9943008,-235750,-239600.607,y
Sr(s),y,Sr,s,0,52.30,26.40,298,25,0,0,0,#DIV/0!,#DIV/0!,n
SrCl2(s),n,Sr,s,-828900,114.85,75.60,298,25,-828900,-781083.814,136.9082275,-414450,-390541.907,n
SrCl2(g),n,Sr,g,-485800,310.81,55.77,298,25,-485800,-496379.894,87.00537667,-242900,-248189.947,y
Ba(s),y,Ba,s,0,62.80,28.07,298,25,0,0,0,#DIV/0!,#DIV/0!,n
BaCl2(s),n,Ba,s,-858600,123.68,75.14,298,25,-858600,-810286.154,142.0268083,-429300,-405143.077,n
BaCl2(g),n,Ba,g,-525900,325.29,56.19,298,25,-525900,-537665.934,94.24198618,-262950,-268832.967,y
Li(s),y,Li,s,0,29.12,24.77,298,25,0,0,0,#DIV/0!,#DIV/0!,n
LiCl(s),n,Li,s,-408610,59.33,47.99,298,25,-408610,-384384.537,67.37485106,-408610,-384384.537,n
LiCl(g),n,Li,g,-195400,212.82,33.22,298,25,-195400,-216915.749,38.02095265,-195400,-216915.749,y
Na(s),y,Na,s,0,51.21,28.24,298,25,0,0,0,#DIV/0!,#DIV/0!,n
NaCl(s),n,Na,s,-411153,72.13,50.50,298,25,-411153,-384159.117,67.33533949,-411153,-384159.117,n
NaCl(g),n,Na,g,-176650,229.81,35.77,298,25,-176650,-196644.757,34.4678569,-176650,-196644.757,y
K(s),y,K,s,0,64.18,29.58,298,25,0,0,0,#DIV/0!,#DIV/0!,n
KCl(s),n,K,s,-436747,82.59,51.30,298,25,-436747,-409005.137,71.69034531,-436747,-409005.137,n
KCl(g),n,K,g,-214140,239.10,36.48,298,25,-214140,-233038.117,40.84687836,-214140,-233038.117,y
Rb(s),y,Rb,s,0,76.78,31.06,298,25,0,0,0,#DIV/0!,#DIV/0!,n
RbCl(s),n,Rb,s,-435350,95.90,52.38,298,25,-435350,-407819.717,71.48256511,-435350,-407819.717,n
RbCl(g),n,Rb,g,-228900,249.56,36.82,298,25,-228900,-247160.397,43.322229,-228900,-247160.397,y
Cs(s),y,Cs,s,0,85.23,32.17,298,25,0,0,0,#DIV/0!,#DIV/0!,n
CsCl(s),n,Cs,s,-443040,101.17,52.47,298,25,-443040,-414562.077,72.66436473,-443040,-414562.077,n
CsCl(g),n,Cs,g,-240200,255.96,36.94,298,25,-240200,-257849.497,45.19581249,-240200,-257849.497,y
Ar(g),y,Ar,g,0,154.73,20.79,600,327,0,0,0,#DIV/0!,#DIV/0!,n
Cl(g),n,Cl,g,121286,165.07,22.33,600,327,122572.2182,90431.7182,-7.872591297,122572.2182,90431.7182,n
Cl2(g),y,Cl,g,0,223.01,36.66,600,327,0,0,0,0,0,n
Fe(s),y,Fe,s,0,27.28,30.68,600,327,0,0,0,#DIV/0!,#DIV/0!,n
Fe(g),n,Fe,g,415887,180.85,22.18,600,327,413816.5045,321677.5045,-28.00384172,#DIV/0!,#DIV/0!,n
FeCl(g),n,Fe,g,251040,257.47,39.84,600,327,248772.4028,177559.9028,-15.45759135,248772.4028,177559.9028,n
FeCl2(s),n,Fe,s,-341800,118.00,76.70,600,327,-338348.1674,-258975.9674,22.54531914,-169174.0837,-129487.9837,n
FeCl2(l),n,Fe,l,-311328,139.90,102.17,600,327,-300183.3214,-233948.7214,20.36655617,-150091.6607,-116974.3607,n
FeCl2(g),n,Fe,g,-141001,299.17,61.73,600,327,-142298.0677,-171627.2677,14.941122,-71149.03387,-85813.63387,n
Fe2Cl4(g),n,Fe,g,-431370,464.38,132.09,600,327,-431202.9865,-409487.7865,35.6482222,-107800.7466,-102371.9466,n
FeCl3(l),n,Fe,l,-362228,201.72,133.89,600,327,-346981.1366,-250939.4366,21.84569379,-115660.3789,-83646.47886,n
FeCl3(g),n,Fe,g,-253132,344.11,82.30,600,327,-253642.8979,-243031.5979,21.15727182,-84547.63265,-81010.53265,y
Fe2Cl6(g),n,Fe,g,-654378,537.02,181.52,600,327,-650236.3741,-538297.3741,46.86182356,-108372.729,-89716.22902,n
Cr(s),y,Cr,s,0,23.64,27.88,600,327,0,0,0,#DIV/0!,#DIV/0!,n
Cr(g),n,Cr,g,397480,174.20,20.78,600,327,396884.1992,306549.1592,-26.6868339,#DIV/0!,#DIV/0!,n
CrCl2(l),n,Cr,l,-363171,144.92,83.23,600,327,-357307.6628,-296270.5028,25.79201887,-178653.8314,-148135.2514,n
CrCl2(s),n,Cr,s,-395400,115.30,79.56,600,327,-389768.0844,-310960.1244,27.07083331,-194884.0422,-155480.0622,n
CrCl2(g),n,Cr,g,-120307,322.49,55.17,600,327,-122041.6496,-167548.2896,14.58602394,-61020.82479,-83774.14479,n
CrCl3(s),n,Cr,s,-556472,123.01,112.47,600,327,-548293.2549,-407209.1949,35.44985795,-182764.4183,-135736.3983,n
CrCl3(g),n,Cr,g,-292521,353.26,82.81,600,327,-291517.6118,-288582.3518,25.12272195,-97172.53728,-96194.11728,y
CrCl4(g),n,Cr,g,-427000,,,600,327,-455772.479,-173980.319,15.14596838,-113943.1197,-43495.07974,n
H2(g),y,H,g,0,130.70,28.80,600,327,0,0,0,#DIV/0!,#DIV/0!,n
HCl(g),n,H,g,-92300,186.90,29.10,600,327,-93336.34515,-99364.24515,8.650218166,-93336.34515,-99364.24515,y
Ni(s),y,Ni,s,0,29.90,26.10,600,327,0,0,0,#DIV/0!,#DIV/0!,n
Ni(g),n,Ni,g,429700,182.20,23.40,600,327,428884.6,337504.6,-29.38167968,#DIV/0!,#DIV/0!,n
NiCl2(s),n,Ni,s,-305300,97.70,71.70,600,327,-302480.2903,-209356.0903,18.22562887,-151240.1451,-104678.0451,y
NiCl2(l),n,Ni,l,,,0.00,600,327,0,0,0,#DIV/0!,#DIV/0!,n
